0	0	4096
1	1950	2260
2	1960	2200
3	2000	2450
4	2230	2240
5	2060	2280
6	2500	2310
7	0	4096
8	1860	2150
9	1550	1850
10	1750	2040
11	1680	1940
12	1620	1980
13	1540	1840
14	1620	1900
15	1650	1950
16	1900	2140
17	1830	2050
18	1580	1780
19	1720	1950
20	1810	2040
21	1810	2040
22	1760	1980
23	1850	2060
24	1930	2170
25	1910	2170
26	2050	2280
27	2040	2260
28	1960	2210
29	1980	2230
30	2060	2280
31	2000	2260
32	2000	2350
33	1900	2320
34	2000	2380
35	2000	2530
36	1950	2350
37	2000	2350
38	2000	2350
39	1900	2300
40	1750	2100
41	1800	2150
42	1750	2100
43	1800	2080
44	1880	2160
45	0	4096
46	1800	2150
47	1950	2280
48	1660	2000
49	1700	2100
50	1750	2100
51	1700	2100
52	1700	2100
53	1700	2080
54	1700	2100
55	0	4096
56	1750	2140
57	1750	2200
58	1740	2130
59	1840	2240
60	1760	2100
61	1760	2140
62	1800	2140
63	1700	2100
64	1500	2100
65	1600	2200
66	1550	2200
67	2500	2100
68	1500	2140
69	1500	2050
70	1500	2150
71	1500	2100
72	1600	2300
73	1650	2280
74	1600	2200
75	1600	2120
76	1650	2250
77	1650	2150
78	1800	2350
79	1780	2250
