#  Z   N   Fission Yield
  23  43   5.1302800e-16
  24  42   4.4674900e-12
  24  43   1.4297500e-12
  24  44   1.7045700e-13
  24  45   2.8578000e-15
  24  46   0.0000000e+00
  25  41   5.3969300e-10
  25  42   7.0212800e-10
  25  43   2.3348200e-10
  25  44   2.9585100e-11
  25  45   2.8190900e-12
  25  46   3.4928500e-13
  25  47   9.5333200e-15
  25  48   1.7381600e-16
  26  40   7.3763350e-09
  26  41   1.4739180e-08
  26  42   2.6715690e-08
  26  43   9.5289970e-09
  26  44   4.0323320e-09
  26  45   1.2586460e-09
  26  46   1.9494200e-10
  26  47   1.0176300e-11
  26  48   4.8957000e-13
  26  49   3.6167100e-15
  26  50   0.0000000e+00
  27  39   3.1884630e-09
  27  40   2.1495320e-08
  27  41   7.7443150e-08
  27  42   1.4994780e-07
  27  43   1.3302636e-07
  27  44   1.6138770e-07
  27  45   7.1498650e-08
  27  46   1.8052680e-08
  27  47   2.4546440e-09
  27  48   1.6835100e-10
  27  49   1.9754400e-11
  27  50   2.5963500e-12
  27  51   4.2158000e-14
  28  38   1.8693900e-10
  28  39   2.0418620e-09
  28  40   3.8255150e-08
  28  41   1.6211107e-07
  28  42   4.6460170e-07
  28  43   1.0766450e-06
  28  44   2.0902440e-06
  28  45   1.2727940e-06
  28  46   8.6392200e-07
  28  47   2.2031160e-07
  28  48   9.9769140e-08
  28  49   2.2850080e-08
  28  50   2.6207710e-09
  28  51   4.9141600e-11
  28  52   1.0046500e-12
  28  53   1.8601800e-14
  28  54   0.0000000e+00
  29  37   1.4882500e-13
  29  38   6.4361900e-12
  29  39   3.0212820e-10
  29  40   8.2492900e-09
  29  41   5.1609909e-08
  29  42   4.1125240e-07
  29  43   1.7944610e-06
  29  44   3.9993080e-06
  29  45   5.5290620e-06
  29  46   8.3915190e-06
  29  47   7.6239330e-06
  29  48   5.5425510e-06
  29  49   2.0208430e-06
  29  50   2.9307520e-07
  29  51   2.3774880e-08
  29  52   2.1368640e-09
  29  53   6.5305000e-11
  29  54   3.8057400e-12
  29  55   1.6557800e-14
  30  36   0.0000000e+00
  30  37   7.5958200e-16
  30  38   2.1935900e-13
  30  39   1.7785450e-11
  30  40   4.9806500e-10
  30  41   8.8672470e-09
  30  42   1.8168450e-07
  30  43   9.0705730e-07
  30  44   5.0025630e-06
  30  45   1.7414580e-05
  30  46   4.8035750e-05
  30  47   6.2515890e-05
  30  48   1.0904950e-04
  30  49   5.2062820e-05
  30  50   2.8185870e-05
  30  51   6.8775620e-06
  30  52   1.0730430e-06
  30  53   1.4526440e-07
  30  54   4.1085880e-09
  30  55   1.5749500e-11
  30  56   4.7854400e-13
  31  36   0.0000000e+00
  31  37   0.0000000e+00
  31  38   0.0000000e+00
  31  39   1.0026900e-13
  31  40   7.6702000e-12
  31  41   4.6841010e-10
  31  42   1.0602120e-08
  31  43   1.3764197e-07
  31  44   2.3003120e-06
  31  45   1.1374120e-05
  31  46   4.7247830e-05
