Group Gain Offset
Clover3_Crystal0 2.7479684979396737 -0.6087916316999584
Clover3_Crystal1 2.785443878219723 -0.8165763495619826
Clover3_Crystal2 2.846191617501943 -2.2953904875009727
Clover3_Crystal3 2.7177036940529247 -0.6931461916874657
Clover4_Crystal0 2.711938609960936 -2.0308871965964426
Clover4_Crystal1 2.7293353775789004 0.17783134377681645
Clover4_Crystal2 2.696951733277698 -1.4898803816502295
Clover4_Crystal3 2.672694434663474 -0.08524265793573615
Clover5_Crystal0 2.769231592123074 -1.4872678253612428
Clover5_Crystal1 2.781727133189088 -1.825606908288046
Clover5_Crystal2 2.7777794734542494 -1.8860908229088647
Clover5_Crystal3 2.746951126272063 1.1512801030111415
