Group Gain Offset
Clover3_Crystal0_Segment0 2.8300621643200405 -1.4193680957241814
Clover3_Crystal0_Segment1 2.9693310152243693 0.08945363161449202
Clover3_Crystal0_Segment2 2.9054748658016427 2.167897444346884
Clover3_Crystal0_Segment3 2.8316995542804912 0.5273045098442806
Clover3_Crystal1_Segment0 2.887835493647088 -2.684754422493622
Clover3_Crystal1_Segment1 2.9118303932490712 -1.9205917537911894
Clover3_Crystal1_Segment2 2.824388025692127 -0.569214008458625
Clover3_Crystal1_Segment3 2.8486120406643827 0.4475595215396456
Clover3_Crystal2_Segment0 2.8547522840485295 -0.2024381706539766
Clover3_Crystal2_Segment1 2.8315576169958145 -1.7813877175104356
Clover3_Crystal2_Segment2 2.843190403810885 0.035280075830181466
Clover3_Crystal2_Segment3 2.9410603543468237 0.7758736538917584
Clover3_Crystal3_Segment0 2.7837751154643335 -1.6430669428133096
Clover3_Crystal3_Segment1 2.829431600630442 0.5862713818786096
Clover3_Crystal3_Segment2 3.1633885461220768 -1.847096199274911
Clover3_Crystal3_Segment3 2.8360858800457898 0.005596058535452717
Clover4_Crystal0_Segment0 2.662868295566838 -1.0641207859426547
Clover4_Crystal0_Segment1 2.7372351537325246 -1.4040677966110566
Clover4_Crystal0_Segment2 2.7264302620807017 -1.153317733624762
Clover4_Crystal0_Segment3 2.7103153813591487 0.2860361996760583
Clover4_Crystal1_Segment0 2.715909656099918 -1.4854476762465514
Clover4_Crystal1_Segment1 2.5474077927296612 31.911228123504156
Clover4_Crystal1_Segment2 2.58636222471868 -2.648025529963048
Clover4_Crystal1_Segment3 2.601166236225149 -1.1713957984354222
Clover4_Crystal2_Segment0 2.6368108291402628 -1.8014412291124091
Clover4_Crystal2_Segment1 2.7429001483649706 -1.248339582681628
Clover4_Crystal2_Segment2 2.6155311710792226 -2.0057095492825696
Clover4_Crystal2_Segment3 2.646027104606455 34.16976009882155
Clover4_Crystal3_Segment0 2.617111778138706 -0.7291086965845642
Clover4_Crystal3_Segment1 2.820908905037343 -1.7311075202460071
Clover4_Crystal3_Segment2 2.589610319156164 -0.9375136380752577
Clover4_Crystal3_Segment3 2.571735868462677 -0.5389402800873576
Clover5_Crystal0_Segment0 2.9540485882450547 37.4205869471559
Clover5_Crystal0_Segment1 2.880205007513471 -1.7760886363906259
Clover5_Crystal0_Segment2 2.9181832566071164 -2.8073671522858707
Clover5_Crystal0_Segment3 2.88474091481357 -1.3940223804597078
Clover5_Crystal1_Segment0 2.7632111754766018 -1.714354266101647
Clover5_Crystal1_Segment1 2.942264952562879 -1.3038402828618145
Clover5_Crystal1_Segment2 2.838966220907599 -1.64731742470757
Clover5_Crystal1_Segment3 2.8631205992822095 -1.3857469082081526
Clover5_Crystal2_Segment0 2.7987386057434285 -2.1690293634885873
Clover5_Crystal2_Segment1 2.7415733184572906 0.10520558570706472
Clover5_Crystal2_Segment2 0.8079000725611057 -0.46936981831274105
Clover5_Crystal2_Segment3 2.7652747883927677 -1.5418694387876168
Clover5_Crystal3_Segment0 2.7842527985398546 -2.2503588411745628
Clover5_Crystal3_Segment1 2.8519551872031514 0.29692471984894264
Clover5_Crystal3_Segment2 2.9276412310263917 -1.4916499390930948
Clover5_Crystal3_Segment3 2.8795163855455153 -1.8331004657195953
